"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABHD2",1992.25009240179,-0.774170718040519,0.440495218728668,-1.7575008425174,0.0788324783672141,0.470224600736607
"ABHD3",300.653289035031,0.163822466651914,0.291732539281518,0.561550202988593,0.574422516550128,NA
"ABHD4",160.815280194151,-1.39380573478826,0.695559465381102,-2.00386279557648,0.0450847598721301,NA
"ABHD5",429.164378154095,-1.05045937419731,0.656526503127016,-1.60002584692926,0.109592849591743,NA
"ABHD6",149.897330218225,-0.063531212740422,0.348304679745195,-0.182401260835481,0.855267836400698,NA
"ABHD8",28.7490878296939,-0.693629357145865,0.542108670674182,-1.27950242205728,0.200720187246024,NA
"ABI1",1458.05709478057,-0.000426544766425227,0.211226306119193,-0.00201937331699837,0.998388774302931,0.999719695610274
"ABI2",1116.54145590271,-0.18914058825949,0.244211885157148,-0.774493789021695,0.43863883970775,0.768591053022895
"ABI3",199.068117307923,0.428571246084576,0.289403853827904,1.48087608515203,0.138639596828095,NA
"ABI3BP",1144.58829717963,-0.678991028569465,0.421170833722156,-1.61215111352509,0.106929060329018,0.504282728959073
"ABITRAM",130.074345997338,-0.275675028337811,0.313378674112309,-0.87968662551369,0.379029096676673,NA
"ABL1",595.938688662908,-0.185705321790238,0.44414261475668,-0.418120926972917,0.675858705181454,NA
"ABL2",1437.53307446219,-0.56919122909789,0.610286752796157,-0.932661943733862,0.350994539814138,0.712559331491589
"ABLIM1",2408.60572239077,0.168277750182543,0.447047086343277,0.376420639622125,0.706604204231342,0.903003732682652
"ABLIM2",70.9707999675632,-0.617487926165619,0.782789316569184,-0.788830293279871,0.430211201458717,NA
"ABLIM3",164.209140139752,-0.271298305904053,0.693517322898953,-0.391191823111218,0.695655451926282,NA
"ABO",31.2043468731163,-0.138665208924208,1.1101454377423,-0.124907245672433,0.900596982082319,NA
"ABR",1216.58884800412,-0.0413938962713168,0.507334742867295,-0.0815908960568551,0.934972041051192,0.984210308292626
"ABRA",0.625332890307329,-0.0849794046260496,5.23481217395563,-0.0162335155115672,0.987048097470991,NA
"ABRACL",187.262838219804,-0.15931999491279,0.382800762887072,-0.416195604499853,0.67726687587645,NA
"ABRAXAS1",295.905414249316,-0.270055675447753,0.361360713312699,-0.747329926853625,0.454864432029563,NA
"ABRAXAS2",272.026908256212,0.106687792712027,0.246267274879794,0.433219528514711,0.664855292979837,NA
"ABT1",174.236994270706,0.218411980653567,0.47038679614679,0.464324216671696,0.642415476338295,NA
"ABTB1",157.779321824747,-0.408865512895339,0.381514411617825,-1.07169087312202,0.283858901568292,NA
"ABTB2",87.1041124367131,-0.613255689137991,0.826506812732634,-0.741985038345197,0.458096400609656,NA
"ACAA1",157.571866339328,0.461400949221443,0.387943292422626,1.18935153212751,0.234301364853589,NA
"ACAA2",178.087850540687,-0.227595571924807,0.507340078734964,-0.44860554382439,0.653716233885788,NA
"ACACA",546.424046197357,0.203137814824468,0.21998596057634,0.923412631843725,0.355792211369163,NA
